2	547888
3	148211
4	94065
5	77081
6	47052
7	38901
8	30359
9	24384
10	20713
11	17611
12	14644
13	12629
14	11431
15	10128
16	8992
17	7900
18	7155
19	6494
20	5613
21	5179
22	4845
23	4331
24	4189
25	3929
26	3775
27	3561
28	3205
29	3027
30	2851
31	2535
32	2409
33	2262
34	2089
35	2045
36	1892
37	1705
38	1699
39	1554
40	1568
41	1412
42	1378
43	1278
44	1217
45	1132
46	1100
47	1012
48	943
49	1012
50	945
51	895
52	965
53	964
54	901
55	886
56	853
57	840
58	795
59	781
60	742
61	678
62	701
63	611
64	627
65	594
66	560
67	548
68	522
69	498
70	490
71	473
72	426
73	467
74	423
75	388
76	388
77	413
78	388
79	376
80	324
81	347
82	365
83	291
84	317
85	302
86	321
87	305
88	295
89	304
90	296
91	307
92	312
93	310
94	303
95	296
96	321
97	298
98	266
99	294
100	299
101	257
102	305
103	316
104	270
105	299
106	275
107	258
108	300
109	296
110	280
111	255
112	251
113	273
114	241
115	235
116	264
117	216
118	216
119	261
120	235
121	246
122	234
123	228
124	218
125	232
126	243
127	257
128	217
129	245
130	243
131	254
132	211
133	233
134	223
135	243
136	222
137	236
138	233
139	220
140	225
141	221
142	223
143	219
144	242
145	231
146	206
147	194
148	190
149	165
150	142
151	143
152	161
153	126
154	138
155	126
156	134
157	134
158	139
159	114
160	130
161	106
162	98
163	118
164	133
165	107
166	94
167	102
168	96
169	101
170	93
171	92
172	74
173	91
174	80
175	68
176	104
177	90
178	68
179	96
180	78
181	97
182	96
183	79
184	79
185	75
186	79
187	75
188	80
189	77
190	80
191	83
192	83
193	73
194	65
195	77
196	82
197	71
198	70
199	62
200	60
201	66
202	74
203	67
204	65
205	60
206	64
207	54
208	51
209	57
210	64
211	46
212	71
213	54
214	58
215	61
216	55
217	46
218	57
219	48
220	51
221	46
222	51
223	59
224	47
225	64
226	52
227	45
228	47
229	40
230	35
231	40
232	48
233	35
234	37
235	51
236	35
237	48
238	42
239	43
240	44
241	32
242	38
243	27
244	42
245	35
246	39
247	42
248	24
249	35
250	35
251	27
252	33
253	40
254	38
255	38
256	25
257	35
258	37
259	25
260	31
261	24
262	41
263	19
264	33
265	29
266	28
267	21
268	25
269	30
270	23
271	26
272	21
273	27
274	29
275	28
276	20
277	30
278	17
